URL,label,num_subdomains,is_ip_address,has_at_symbol,has_hyphen_in_domain,num_digits_in_url,double_slash_redirect,https_in_url,uses_shortening_service,num_iframe_tags,num_embed_tags,num_object_tags,num_form_tags,num_anchor_tags,num_external_resources,external_forms,has_eval,has_escape,has_obfuscation,has_unescape,has_exec,uses_document_cookie,uses_window_location,uses_settimeout,uses_setinterval,uses_prompt,uses_alert,uses_confirm,num_meta_tags,has_meta_refresh,has_meta_keywords,num_images,num_external_images,num_data_images,ssl_certificate_issuer,is_cert_verified,content_length,num_links,num_internal_links,has_login_form,has_meta_redirect,num_emails_in_page,page_title_length,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef
https://www.themotherhood.com,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,58.0,1.0,0.0,Let's Encrypt,1.0,76744.0,55.0,29.0,0.0,0.0,1.0,57.0,28,www.themotherhood.com,21,0,com,100.0,1.0,0.5229071,0.06646915,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,1415,9381,1,themotherhood,100.0,100.0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,44,5,16,59,0,56
https://hv4vz8bkzi.web.app/,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,hv4vz8bkzi.web.app,18,0,app,48.47303444,0.428571429,0.001502,0.025874572,3,1,0,0,0.0,14,0.519,2,0.074,0,0,0,3,0.111,1,108,8125,1,hv4vz8bkziweb,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
https://www.cumberlandlodge.ac.uk,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,56.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,Let's Encrypt,1.0,83002.0,56.0,41.0,0.0,0.0,1.0,53.0,32,www.cumberlandlodge.ac.uk,25,0,uk,100.0,0.888888889,0.028555,0.057354773,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,1002,6116,1,cmberlandlodgeac,0.0,0.0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,11,2,8,152,0,5
https://www.thesacredmiddle.com,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,www.thesacredmiddle.com,23,0,com,100.0,1.0,0.5229071,0.061947607,3,1,0,0,0.0,17,0.567,0,0.0,0,0,0,1,0.033,1,1130,10544,1,thesacredmiddle,100.0,100.0,0,0,1,0,0,1,0,6,0,1,1,1,0,0,1,0,0,29,6,15,144,0,23
http://www.ftpaccess.cc,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,www.ftpaccess.cc,16,0,cc,74.46581197,1.0,0.0010349,0.059554177,2,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,2,31,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://bafybeif5da5uioyg7zqeiciidlid2yp5pkrwmolqm3mtw2qlhwfsr4feu4.ipfs.dweb.link/asb.html/,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,bafybeif5da5uioyg7zqeiciidlid2yp5pkrwmolqm3mtw2qlhwfsr4feu4.ipfs.dweb.link,74,0,link,11.02447656,0.188405797,0.0003306,0.037725771,4,2,0,0,0.0,69,0.75,9,0.098,0,0,0,6,0.065,1,292,5542,1,bafybeif5da5uioyg7zqeiciidlid2yp5pkrwmolqm3mtw2qlhwfsr4feu4ipfsdwebasbhtml,0.0,0.0,1,0,1,0,0,0,0,3,0,0,1,1,1,0,0,0,0,1,0,1,0,0,2
https://rekutan.co.jp.buffaloclutch.com/,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,rekutan.co.jp.buffaloclutch.com,31,0,com,36.70655567,0.518518519,0.5229071,0.053579831,3,3,0,0,0.0,27,0.675,0,0.0,0,0,0,5,0.125,1,13,73,1,rekutancojpbuffaloclutch,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.thirstmag.com,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,40.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,17.0,2.0,0.0,Let's Encrypt,1.0,50450.0,40.0,0.0,0.0,0.0,0.0,33.0,24,www.thirstmag.com,17,0,com,100.0,1.0,0.5229071,0.060149362,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,595,594,1,thirstmag,100.0,100.0,1,0,1,1,0,1,0,2,0,1,1,1,0,0,0,0,1,20,8,21,0,1,52
http://www.g5i9a0.cyou,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,www.g5i9a0.cyou,15,0,cyou,51.63636364,0.333333333,4.18e-05,0.040544628,4,1,0,0,0.0,6,0.286,3,0.143,0,0,0,1,0.048,0,2,30,0,0,16.66666667,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.retegui-marble.fr,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,13.0,0.0,7.0,Let's Encrypt,1.0,355827.0,102.0,70.0,1.0,0.0,1.0,52.0,28,www.retegui-marble.fr,21,0,fr,100.0,0.571428571,0.0141483,0.056782427,2,1,0,0,0.0,14,0.5,0,0.0,0,0,0,2,0.071,1,7317,7895,1,retegui-marble,100.0,100.0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,32,14,14,94,16,105
